                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.071754,               0.032591,               0.036548,                0.02635,                0.85087,                0.28608,                0.32155,                0.12301,                0.85087,                0.28608,                0.35206,                0.16566,               0.064064,               0.032493,               0.023413,               0.024784,               0.008965,               0.008965,               0.008965
                     25,               0.064731,               0.029775,               0.030227,               0.025899,                0.86002,                0.28194,                0.38382,                0.15258,                0.86002,                0.28194,                0.41649,                0.22939,               0.065657,               0.037127,               0.021576,               0.024585,                0.00892,                0.00892,                0.00892
                     26,               0.062387,               0.034794,               0.036359,               0.025677,                0.82639,                0.27373,                0.32949,                0.11959,                0.40494,                0.49504,                0.39958,                0.15522,               0.069461,                0.03407,               0.024019,               0.024021,               0.008875,               0.008875,               0.008875
                     27,               0.075306,               0.029103,               0.030867,               0.025607,                 0.4093,                0.49941,                0.38837,                0.14056,                0.40454,                0.52814,                0.42342,                0.19939,               0.068508,               0.030856,               0.021731,               0.023505,                0.00883,                0.00883,                0.00883
                     28,                0.07327,               0.031342,               0.029122,               0.025345,                 0.4134,                0.49389,                0.33718,                0.15337,                0.42656,                0.50061,                0.37406,                0.16771,               0.060996,               0.028811,               0.021721,               0.023167,               0.008785,               0.008785,               0.008785
                     29,               0.071657,               0.023693,               0.026747,               0.025071,                 0.4671,                0.51691,                0.44926,                0.19515,                0.39244,                0.56692,                0.45531,                0.25491,               0.065522,               0.029752,               0.020506,                0.02293,                0.00874,                0.00874,                0.00874
                     30,               0.071331,               0.031353,                0.03189,               0.024084,                0.80198,                0.34106,                0.38203,                0.16288,                0.79513,                0.32871,                0.35036,                0.18308,                0.05817,               0.030162,               0.021616,               0.022886,               0.008695,               0.008695,               0.008695
                     31,               0.064251,               0.031341,               0.030831,               0.024426,                0.80728,                0.32681,                0.43376,                0.19193,                0.81357,                0.30638,                0.41491,                0.22964,               0.059879,               0.030338,               0.020388,                0.02275,                0.00865,                0.00865,                0.00865
                     32,               0.064264,               0.032742,               0.029517,               0.024538,                0.78016,                0.30049,                0.33714,                0.13847,                0.77644,                0.29461,                0.35133,                0.17645,               0.057639,               0.030445,               0.020709,               0.022871,               0.008605,               0.008605,               0.008605
                     33,                0.05742,               0.028557,               0.028755,               0.024933,                0.86159,                0.34187,                 0.4499,                0.21052,                0.85574,                0.33262,                0.46066,                0.25713,               0.050328,               0.034713,               0.023928,               0.022897,                0.00856,                0.00856,                0.00856
