                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.033605,               0.018252,               0.029952,               0.003089,                0.98403,                0.98471,                0.97888,                0.66512,                 0.8959,                0.89497,                0.89029,                 0.6521,               0.027566,               0.016536,               0.022794,              0.0024757,               0.008965,               0.008965,               0.008965
                     25,               0.033536,               0.018163,               0.032152,              0.0029743,                0.98578,                 0.9876,                0.98462,                0.72616,                0.95683,                0.95863,                0.95608,                0.69007,               0.027924,               0.016772,               0.022863,              0.0023615,                0.00892,                0.00892,                0.00892
                     26,               0.032007,               0.018499,               0.030834,              0.0030541,                0.95086,                0.97845,                0.98109,                0.71196,                 0.8904,                0.90871,                0.91809,                0.65256,               0.024954,               0.016411,               0.021233,                0.00267,               0.008875,               0.008875,               0.008875
                     27,               0.032382,               0.018028,               0.031688,              0.0030984,                0.98823,                0.98771,                0.98721,                 0.7031,                0.98565,                0.98477,                0.98434,                0.81319,               0.024149,               0.016795,               0.022967,              0.0023064,                0.00883,                0.00883,                0.00883
                     28,               0.032017,               0.018134,               0.030345,              0.0027413,                0.98885,                0.99035,                0.98855,                0.68618,                0.92892,                0.92966,                0.91501,                0.68111,               0.023473,                0.01672,               0.021685,               0.002401,               0.008785,               0.008785,               0.008785
                     29,               0.031685,               0.018659,               0.031468,              0.0029063,                0.98954,                0.99256,                0.99017,                0.72916,                0.95861,                0.96111,                0.95588,                0.77648,               0.022777,               0.016551,               0.020978,              0.0021314,                0.00874,                0.00874,                0.00874
                     30,               0.030883,               0.018105,                0.03103,              0.0026669,                0.95936,                0.97794,                0.97748,                0.76048,                0.94279,                0.96139,                0.95883,                0.71985,                0.02367,               0.016524,               0.021521,              0.0021424,               0.008695,               0.008695,               0.008695
                     31,               0.030498,               0.017894,                0.03247,              0.0027385,                0.98828,                0.99146,                0.98883,                0.75744,                0.94039,                0.94136,                0.94291,                0.71421,               0.022964,               0.016335,               0.021135,              0.0019504,                0.00865,                0.00865,                0.00865
                     32,                0.03029,               0.017738,               0.030532,              0.0026904,                0.98667,                 0.9876,                 0.9829,                0.74826,                0.96332,                0.96415,                0.96142,                 0.7654,               0.020958,               0.016677,               0.021081,              0.0022793,               0.008605,               0.008605,               0.008605
                     33,               0.030641,               0.017723,               0.031533,              0.0026699,                0.98553,                0.98897,                0.98369,                0.74007,                0.97451,                0.97794,                0.97394,                0.77718,               0.023575,               0.017291,               0.022295,              0.0020355,                0.00856,                0.00856,                0.00856
                     34,               0.029988,               0.018399,               0.030243,              0.0027449,                0.99071,                0.99035,                0.98636,                0.70473,                0.95644,                 0.9554,                0.94863,                0.74439,               0.022749,               0.016783,               0.020865,              0.0020662,               0.008515,               0.008515,               0.008515
                     35,               0.029377,               0.017959,               0.030705,              0.0026645,                0.95939,                0.95105,                0.98004,                0.72094,                0.88761,                 0.8778,                0.89474,                0.68712,               0.024344,               0.016491,               0.021435,              0.0019882,                0.00847,                0.00847,                0.00847
                     36,               0.030651,               0.017712,               0.032012,              0.0025037,                0.99062,                0.99173,                0.98897,                0.73503,                0.98117,                0.98208,                0.97987,                0.80418,               0.022945,               0.016392,               0.023737,              0.0019628,               0.008425,               0.008425,               0.008425
                     37,               0.030497,               0.017914,               0.031335,              0.0024481,                0.98783,                0.98556,                0.98625,                0.71778,                0.93888,                0.93739,                0.93835,                0.66029,                0.02501,               0.016683,               0.022489,              0.0020036,                0.00838,                0.00838,                0.00838
                     38,               0.029657,               0.017666,               0.029685,              0.0024351,                0.98954,                0.99035,                0.98681,                0.73197,                0.96198,                0.96277,                0.96016,                0.73838,               0.021401,               0.016984,               0.021301,              0.0020368,               0.008335,               0.008335,               0.008335
                     39,               0.029518,                0.01745,               0.031253,              0.0025918,                0.98536,                0.98762,                0.98451,                0.77104,                0.95168,                0.95273,                0.94427,                 0.6972,               0.020957,               0.016908,               0.020255,              0.0020426,                0.00829,                0.00829,                0.00829
                     40,               0.029503,               0.017381,               0.030713,              0.0023079,                0.98955,                0.98915,                0.98672,                0.77018,                0.93722,                0.93677,                0.92769,                0.68722,               0.021255,               0.016659,               0.021222,              0.0019405,               0.008245,               0.008245,               0.008245
                     41,               0.028956,                0.01738,               0.030637,              0.0025294,                 0.9917,                0.99159,                0.98881,                0.76472,                0.93384,                0.93378,                0.92344,                0.68904,                0.02286,               0.016766,               0.021018,              0.0022829,                 0.0082,                 0.0082,                 0.0082
                     42,               0.027219,                0.01741,               0.030136,              0.0026956,                0.98872,                0.98853,                0.98458,                0.78153,                0.93217,                  0.932,                0.92411,                0.69246,               0.020428,               0.016659,               0.020829,              0.0019962,               0.008155,               0.008155,               0.008155
